"bNumber"	"gene"	"function"
"b1400"	"paaY"	"predicted hexapeptide repeat acetyltransferase"
"b1401"	"ydbA_1"	"predicted outer membrane protein, N-ter fragment (pseudogene)"
"b1405"	"ydbA_2"	"predicted outer membrane protein, C-ter fragment (pseudogene)"
"b4492"	"ybda"	"predicted outer membrane protein (pseudogene)"
"b1406"	"ydbC"	"predicted oxidoreductase, NAD(P)-binding"
"b1407"	"ydbD"	"predicted protein"
"b1408"	"ynbA"	"predicted inner membrane protein"
"b1409"	"ynbB"	"predicted CDP-diglyceride synthase"
"b1410"	"ynbC"	"predicted hydrolase"
"b1411"	"ynbD"	"predicted phosphatase, inner membrane protein"
"b1412"	"azoR"	"NADH-azoreductase, FMN-dependent"
"b1413"	"hrpA"	"ATP-dependent helicase"
"b1414"	"ydcF"	"conserved protein"
"b1415"	"aldA"	"aldehyde dehydrogenase A, NAD-linked"
"b1416"	"gapC_2"	"glyceraldehyde-3-phosphate dehydrogenase C, N-ter fragment (pseudogene)"
"b1417"	"gapC_1"	"glyceraldehyde-3-phosphate dehydrogenase C, C-ter fragment (pseudogene)"
"b4493"	"gapC"	"glyceraldehyde-3-phosphate dehydrogenase C (pseudogene)"
"b1418"	"cybB"	"cytochrome b561"
"b1419"	"ydcA"	"predicted protein"
"b4428"	"hokB"	"toxic polypeptide, small"
"b1420"	"mokB"	"regulatory peptide"
"b4429"	"sokB"	"regulatory, antisense sRNA"
"b1421"	"trg"	"methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor"
"b1422"	"ydcI"	"predicted DNA-binding transcriptional regulator"
"b1423"	"ydcJ"	"conserved protein"
"b1424"	"mdoD"	"glucan biosynthesis protein, periplasmic"
"b1426"	"ydcH"	"predicted protein"
"b1427"	"rimL"	"ribosomal-protein-L7/L12-serine acetyltransferase"
"b1428"	"ydcK"	"predicted enzyme"
"b1429"	"tehA"	"potassium-tellurite ethidium and proflavin transporter"
"b1430"	"tehB"	"predicted S-adenosyl-L-methionine-dependent methyltransferase"
"b1431"	"ydcL"	"predicted lipoprotein"
"b4530"	"yncK_1"	"predicted transposase, N-ter fragment (pseudogene)"
"b4531"	"yncK_2"	"predicted transposase, C-ter fragment (pseudogene)"
"b4578"	"yncK"	"predicted transposase (pseudogene)"
"b1432"	"ydcM"	"predicted transposase"
"b1433"	"ydcO"	"predicted benzoate transporter"
"b1434"	"ydcN"	"predicted DNA-binding transcriptional regulator"
"b1435"	"ydcP"	"predicted peptidase"
"b1436"	"yncJ"	"predicted protein"
"b4532"	"yncN"	"predicted protein"
"b1438"	"ydcQ"	"predicted DNA-binding transcriptional regulator"
"b1439"	"ydcR"	"fused predicted DNA-binding transcriptional regulator -!- predicted amino transferase"
"b1440"	"ydcS"	"predicted spermidine/putrescine transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b1441"	"ydcT"	"predicted spermidine/putrescine transporter subunit -!- ATP-binding component of ABC superfamily"
"b1442"	"ydcU"	"predicted spermidine/putrescine transporter subunit -!- membrane component of ABC superfamily"
"b1443"	"ydcV"	"predicted spermidine/putrescine transporter subunit -!- membrane component of ABC superfamily"
"b1444"	"ydcW"	"gamma-aminobutyraldehyde dehydrogenase, NAD-dependent"
"b1445"	"ydcX"	"predicted inner membrane protein"
"b1446"	"ydcY"	"predicted protein"
"b1447"	"ydcZ"	"predicted inner membrane protein"
"b1448"	"yncA"	"predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"b1449"	"yncB"	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"
"b1450"	"yncC"	"predicted DNA-binding transcriptional regulator"
"b1451"	"yncD"	"predicted iron outer membrane transporter"
"b1452"	"yncE"	"conserved protein"
"b1453"	"ansP"	"L-asparagine transporter"
"b1454"	"yncG"	"predicted enzyme"
"b1455"	"yncH"	"predicted protein"
"b1456"	"rhsE"	"rhsE element core protein RshE"
"b1457"	"ydcD"	"predicted protein"
"b1458"	"yncI"	"predicted protein"
"b1459"	"yncM"	"predicted protein"
"b1460"	"ydcC"	"conserved protein"
"b1461"	"ydcE"	"4-oxalocrotonate tautomerase"
"b1462"	"yddH"	"conserved protein"
"b1463"	"nhoA"	"N-hydroxyarylamine O-acetyltransferase"
"b1464"	"yddE"	"conserved protein"
"b1465"	"narV"	"nitrate reductase 2 (NRZ), gamma subunit"
"b1466"	"narW"	"nitrate reductase 2 (NRZ), delta subunit (assembly subunit)"
"b1467"	"narY"	"nitrate reductase 2 (NRZ), beta subunit"
"b1468"	"narZ"	"nitrate reductase 2 (NRZ), alpha subunit"
"b1469"	"narU"	"nitrate/nitrite transporter"
"b1470"	"yddJ"	"predicted protein"
"b1471"	"yddK"	"predicted protein"
"b1472"	"yddL"	"predicted lipoprotein"
"b1473"	"yddG"	"predicted methyl viologen efflux pump"
"b1474"	"fdnG"	"formate dehydrogenase-N, alpha subunit, nitrate-inducible, NAD, binds Mo, FeS"
"b1475"	"fdnH"	"formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible"
"b1476"	"fdnI"	"formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible"
"b1477"	"yddM"	"predicted DNA-binding transcriptional regulator"
"b1478"	"adhP"	"alcohol dehydrogenase, 1-propanol preferring, Zn enzyme and NAD-binding"
"b1479"	"sfcA"	"malic enzyme, NAD (malate oxidative decarboxylase)"
"b1480"	"sra"	"30S ribosomal subunit protein S22"
"b1481"	"bdm"	"biofilm-dependent modulation protein"
"b1482"	"osmC"	"osmotically inducible, stress-inducible membrane protein"
"b1483"	"ddpF"	"D-Ala-D-Ala transporter subunit -!- ATP-binding component of ABC superfamily"
"b1484"	"ddpD"	"D-Ala-D-Ala transporter subunit -!- ATP-binding component of ABC superfamily"
"b1485"	"ddpC"	"D-Ala-D-Ala transporter subunit -!- membrane component of ABC superfamily"
"b1486"	"ddpB"	"D-Ala-D-Ala transporter subunit -!- membrane component of ABC superfamily"
"b1487"	"ddpA"	"D-Ala-D-Ala transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b1488"	"ddpX"	"D-Ala-D-Ala dipeptidase, Zn-dependent"
"b1489"	"dos"	"cyclic diguanylate phosphodiesterase, oxygen sensor, contains EAL, GGDEF, PAS domains"
"b1490"	"yddV"	"predicted diguanylate cyclase"
"b1491"	"yddW"	"predicted liprotein"
"b1492"	"gadC"	"predicted glutamate:gamma-aminobutyric acid antiporter"
"b1493"	"gadB"	"glutamate decarboxylase B, PLP-dependent"
"b1494"	"pqqL"	"predicted peptidase"
"b1495"	"yddB"	"predicted porin protein"
"b1496"	"yddA"	"fused predicted multidrug transporter subunits -!- membrane component and ATP-binding component of ABC superfamily"
"b1497"	"ydeM"	"conserved protein"
"b1498"	"ydeN"	"conserved protein"
"b1499"	"ydeO"	"predicted DNA-binding transcriptional acfivator"
"b1501"	"ydeP"	"predicted oxidoreductase"
"b1502"	"ydeQ"	"predicted fimbrial-like adhesin protein"
"b1503"	"ydeR"	"predicted fimbrial-like adhesin protein"
"b1504"	"ydeS"	"predicted fimbrial-like adhesin protein"
"b1505"	"ydeT"	"predicted protein"
"b1506"	"yneL"	"predicted transcriptional regulator"
"b1507"	"hipA"	"regulator with hipB"
"b1508"	"hipB"	"DNA-binding transcriptional regulator"
"b1509"	"ydeU"	"conserved protein, predicted pseudogene"
"b1510"	"ydeK"	"predicted lipoprotein"
"b1511"	"ydeV"	"predicted sugar kinase"
"b1512"	"ydeW"	"DNA-binding transcriptional regulator"
"b1513"	"ego"	"fused AI2 transporter subunits -!- ATP-binding components of ABC superfamily"
"b1514"	"lsrC"	"AI2 transporter -!- membrane component of ABC superfamily"
"b1515"	"lsrD"	"AI2 transporter -!- membrane component of ABC superfamily"
"b1516"	"lsrB"	"AI2 transporter -!- periplasmic-binding component of ABC superfamily"
"b1517"	"lsrF"	"predicted aldolase"
"b1518"	"lsrG"	"conserved protein"
"b1519"	"tam"	"trans-aconitate methyltransferase"
"b1520"	"yneE"	"conserved inner membrane protein"
"b1521"	"uxaB"	"altronate oxidoreductase, NAD-dependent"
"b1522"	"yneF"	"predicted diguanylate cyclase"
"b1523"	"yneG"	"conserved protein"
"b1524"	"yneH"	"predicted glutaminase"
"b1525"	"yneI"	"predicted aldehyde dehydrogenase"
"b1526"	"yneJ"	"predicted DNA-binding transcriptional regulator"
"b1527"	"yneK"	"predicted protein"
"b1528"	"ydeA"	"predicted arabinose transporter"
"b1529"	"marC"	"predicted transporter"
"b1530"	"marR"	"DNA-binding transcriptional repressor"
"b1531"	"marA"	"DNA-binding transcriptional dual regulator"
"b1532"	"marB"	"predicted protein"
"b1533"	"eamA"	"cysteine and O-acetyl-L-serine efflux system"
"b1534"	"ydeE"	"predicted transporter"
"b1535"	"ydeH"	"conserved protein"
"b1536"	"ydeI"	"conserved protein"
"b1537"	"ydeJ"	"conserved protein"
"b1538"	"dcp"	"dipeptidyl carboxypeptidase II"
"b1539"	"ydfG"	"L-allo-threonine dehydrogenase, NAD(P)-binding"
"b1540"	"ydfH"	"predicted DNA-binding transcriptional regulator"
"b1541"	"ydfZ"	"conserved protein"
"b1542"	"ydfI"	"predicted mannonate dehydrogenase"
"b1543"	"ydfJ"	"predicted transporter"
"b1544"	"ydfK"	"Qin prophage; predicted DNA-binding transcriptional regulator"
"b1545"	"pinQ"	"Qin prophage; predicted site-specific recombinase"
"b1546"	"tfaQ"	"Qin prophage; predicted tail fibre assembly protein"
"b1547"	"stfQ"	"Qin prophage; predicted side tail fibre assembly protein"
"b1548"	"nohA"	"Qin prophage; predicted packaging protein"
"b4533"	"ynfO"	"Qin prophage; predicted protein"
"b1549"	"ydfO"	"Qin prophage; predicted protein"
"b1550"	"gnsB"	"Qin prophage; predicted protein"
"b1551"	"ynfN"	"Qin prophage; predicted protein"
"b1552"	"cspI"	"Qin prophage; cold shock protein"
"b1553"	"ydfP"	"Qin prophage; conserved protein"
"b1554"	"ydfQ"	"Qin prophage; predicted lysozyme"
"b1555"	"ydfR"	"Qin prophage; predicted protein"
"b1556"	"essQ"	"Qin prophage; predicted S lysis protein"
"b1557"	"cspB"	"Qin prophage; cold shock protein"
"b1558"	"cspF"	"Qin prophage; cold shock protein"
"b1559"	"ydfT"	"Qin prophage; predicted antitermination protein Q"
"b1560"	"ydfU"	"Qin prophage; predicted protein"
"b1561"	"rem"	"Qin prophage; predicted protein"
"b1562"	"hokD"	"Qin prophage; small toxic polypeptide"
"b1563"	"relE"	"Qin prophage; toxin of the RelE-RelB toxin-antitoxin system"
"b1564"	"relB"	"Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system -!- transcriptional repressor"
"b1565"	"ydfV"	"Qin prophage; predicted protein"
"b1566"	"flxA"	"Qin prophage; predicted protein"
"b1567"	"ydfW"	"Qin prophage; predicted protein"
"b1568"	"ydfX"	"Qin prophage; predicted protein"
"b1569"	"dicC"	"Qin prophage; DNA-binding transcriptional regulator"
"b1570"	"dicA"	"Qin prophage; predicted regulator for DicB"
"b1571"	"ydfA"	"Qin prophage; predicted protein"
"b1572"	"ydfB"	"Qin prophage; predicted protein"
"b1573"	"ydfC"	"Qin prophage; predicted protein"
"b1574"	"dicF"	"Qin prophage; DicF antisense RNA"
"b1575"	"dicB"	"Qin prophage; cell division inhibition protein"
"b1576"	"ydfD"	"Qin prophage; predicted protein"
"b1577"	"ydfE"	"Qin prophage; predicted protein"
"b1578"	"insD"	"Qin prophage; predicted transposase"
"b1579"	"intQ"	"Qin prophage; predicted defective integrase"
"b4534"	"ynfP"	"predicted protein (pseudogene)"
"b1580"	"rspB"	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"
"b1581"	"rspA"	"predicted dehydratase"
"b1582"	"ynfA"	"conserved inner membrane protein"
"b1583"	"ynfB"	"predicted protein"
"b1584"	"speG"	"spermidine N1-acetyltransferase"
"b1585"	"ynfC"	"predicted protein"
"b1586"	"ynfD"	"predicted protein"
"b1587"	"ynfE"	"oxidoreductase electron transfer subunit, similar to dimethylsulfoxide reductase"
"b1588"	"ynfF"	"oxidoreductase reductase subunit similar to dimethylsulfoxide reductase"
"b1589"	"ynfG"	"oxidoreductase, Fe-S subunit"
"b1590"	"ynfH"	"oxidoreductase, membrane subunit"
"b1591"	"dmsD"	"twin-argninine leader-binding protein for DmsA and TorA"
"b1592"	"clcB"	"predicted voltage-gated chloride channel"
"b1593"	"ynfK"	"predicted dethiobiotin synthetase"
"b1594"	"dgsA"	"DNA-binding transcriptional repressor"
"b1595"	"ynfL"	"predicted DNA-binding transcriptional regulator"
"b1596"	"ynfM"	"predicted transporter"
"b1597"	"asr"	"acid shock-inducible periplasmic protein"
"b1598"	"ydgD"	"predicted peptidase"
"b1599"	"mdtI"	"multidrug efflux system transporter"
"b1600"	"mdtJ"	"multidrug efflux system transporter"
"b1601"	"tqsA"	"AI-2 transporter"
"b1602"	"pntB"	"pyridine nucleotide transhydrogenase, beta subunit"
"b1603"	"pntA"	"pyridine nucleotide transhydrogenase, alpha subunit"
"b1604"	"ydgH"	"predicted protein"
"b1605"	"ydgI"	"predicted arginine/ornithine antiporter transporter"
"b1606"	"folM"	"dihydrofolate reductase isozyme, NADP-binding"
"b1607"	"ydgC"	"conserved inner membrane protein associated with alginate biosynthesis"
"b1608"	"rstA"	"DNA-bindng response regulator in two-component regulatory system with RstB"
"b1609"	"rstB"	"sensory histidine kinase in two-component regulatory system with RstA"
"b1610"	"tus"	"inhibitor of replication at Ter, DNA-binding protein"
"b1611"	"fumC"	"fumarate hydratase (fumarase C),aerobic Class II"
"b1612"	"fumA"	"aerobic Class I fumarate hydratase (fumarase A)"
"b1613"	"manA"	"mannose-6-phosphate isomerase"
"b1614"	"ydgA"	"conserved protein"
"b1615"	"uidC"	"predicted outer membrane porin protein"
"b1616"	"uidB"	"glucuronide transporter"
"b1617"	"uidA"	"beta-D-glucuronidase"
"b1618"	"uidR"	"DNA-binding transcriptional repressor"
"b1619"	"hdhA"	"7alpha-hydroxysteroid dehydrogenase, NAD-dependent"
"b1620"	"malI"	"DNA-binding transcriptional repressor"
"b1621"	"malX"	"fused maltose and glucose-specific PTS enzyme IIBC components"
"b1622"	"malY"	"bifunctional beta-cystathionase, PLP-dependent -!- regulator of maltose regulon"
"b1623"	"add"	"adenosine deaminase"
"b1624"	"ydgJ"	"predicted oxidoreductase"
"b4409"	"blr"	"beta-lactam resistance membrane protein"
"b1625"	"cnu"	"predicted regulator"
"b1626"	"ydgK"	"conserved inner membrane protein"
"b1627"	"rsxA"	"predicted inner membrane subunit"
"b1628"	"rsxB"	"predicted iron-sulfur protein"
"b1629"	"rsxC"	"fused predicted 4Fe-4S ferredoxin-type protein"
"b1630"	"rsxD"	"predicted inner membrane oxidoreductase"
"b1631"	"rsxG"	"predicted oxidoreductase"
"b1632"	"rsxE"	"predicted inner membrane NADH-quinone reductase"
"b1633"	"nth"	"DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III)"
"b1634"	"ydgR"	"proton-dependent oligopeptide transporter"
"b1635"	"gst"	"glutathione S-transferase"
"b1636"	"pdxY"	"pyridoxal kinase 2/pyridoxine kinase"
"b1637"	"tyrS"	"tyrosyl-tRNA synthetase"
"b1638"	"pdxH"	"pyridoxine 5'-phosphate oxidase"
"b1639"	"ydhA"	"predicted lipoprotein"
"b1640"	"anmK"	"anhydro-N-acetylmuramic acid kinase"
"b1641"	"slyB"	"outer membrane lipoprotein"
"b1642"	"slyA"	"DNA-binding transcriptional activator"
"b1643"	"ydhI"	"predicted inner membrane protein"
"b1644"	"ydhJ"	"undecaprenyl pyrophosphate phosphatase"
"b1645"	"ydhK"	"conserved inner membrane protein"
"b1646"	"sodC"	"superoxide dismutase, Cu, Zn"
"b1647"	"ydhF"	"predicted oxidoreductase, NADP-binding"
"b1648"	"ydhL"	"conserved protein"
"b1649"	"ydhM"	"predicted DNA-binding transcriptional regulator"
"b1650"	"nemA"	"N-ethylmaleimide reductase, FMN-linked"
"b1651"	"gloA"	"glyoxalase I, Ni-dependent"
"b1652"	"rnt"	"ribonuclease T (RNase T)"
"b1653"	"lhr"	"predicted ATP-dependent helicase"
"b1654"	"grxD"	"glutaredoxin 4"
"b1655"	"ydhO"	"predicted lipoprotein"
"b1656"	"sodB"	"superoxide dismutase, Fe"
"b1657"	"ydhP"	"predicted transporter"
"b1658"	"purR"	"DNA-binding transcriptional repressor, hypoxanthine-binding"
"b1659"	"ydhB"	"predicted DNA-binding transcriptional regulator"
"b1660"	"ydhC"	"predicted transporter"
"b1661"	"cfa"	"cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)"
"b1662"	"ribC"	"riboflavin synthase, alpha subunit"
"b1663"	"mdtK"	"multidrug efflux system transporter"
"b1664"	"ydhQ"	"conserved protein"
"b1665"	"valV"	"tRNA-Val(GAC) (Valine tRNA2B)"
"b1666"	"valW"	"tRNA-Val(GAC) (Valine tRNA2A)"
"b1667"	"ydhR"	"predicted mono-oxygenase"
"b1668"	"ydhS"	"conserved protein with FAD/NAD(P)-binding domain"
"b1669"	"ydhT"	"conserved protein"
"b1670"	"ydhU"	"predicted cytochrome"
"b1671"	"ydhX"	"predicted 4Fe-4S ferridoxin-type protein"
"b1672"	"ydhW"	"predicted protein"
"b1673"	"ydhV"	"predicted oxidoreductase"
"b1674"	"ydhY"	"predicted 4Fe-4S ferridoxin-type protein"
"b1675"	"ydhZ"	"predicted protein"
"b1676"	"pykF"	"pyruvate kinase I"
"b1677"	"lpp"	"murein lipoprotein"
"b1678"	"ynhG"	"conserved protein"
"b1679"	"sufE"	"sulfur acceptor protein"
"b1680"	"sufS"	"selenocysteine lyase, PLP-dependent"
"b1681"	"sufD"	"component of SufBCD complex"
"b1682"	"sufC"	"component of SufBCD complex, ATP-binding component of ABC superfamily"
"b1683"	"sufB"	"component of SufBCD complex"
"b1684"	"sufA"	"Fe-S cluster assembly protein"
"b4430"	"rydB"	"regulatory sRNA"
"b1685"	"ydiH"	"predicted protein"
"b1686"	"ydiI"	"conserved protein"
"b1687"	"ydiJ"	"predicted FAD-linked oxidoreductase"
"b1688"	"ydiK"	"predicted inner membrane protein"
"b4431"	"rprA"	"regulatory sRNA"
"b1689"	"ydiL"	"conserved protein"
"b1690"	"ydiM"	"predicted transporter"
"b1691"	"ydiN"	"predicted transporter"
"b1692"	"ydiB"	"quinate/shikimate 5-dehydrogenase, NAD(P)-binding"
"b1693"	"aroD"	"3-dehydroquinate dehydratase"
"b1694"	"ydiF"	"fused predicted acetyl-CoA:acetoacetyl-CoA transferase: alpha subunit -!- beta subunit"
"b1695"	"ydiO"	"predicted acyl-CoA dehydrogenase"
"b1696"	"ydiP"	"predicted DNA-binding transcriptional regulator"
"b1697"	"ydiQ"	"conserved protein"
"b1698"	"ydiR"	"predicted electron transfer flavoprotein, FAD-binding"
"b1699"	"ydiS"	"predicted oxidoreductase, FAD/NAD(P)-binding domain"
"b1700"	"ydiT"	"predicted 4Fe-4S ferredoxin-type protein"
"b1701"	"ydiD"	"short chain acyl-CoA synthetase, anaerobic"
"b1702"	"pps"	"phosphoenolpyruvate synthase"
"b1703"	"ydiA"	"conserved protein"
"b1704"	"aroH"	"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible"
"b1705"	"ydiE"	"conserved protein"
"b1706"	"ydiU"	"conserved protein"
"b1707"	"ydiV"	"conserved protein"
"b1708"	"nlpC"	"predicted lipoprotein"
"b1709"	"btuD"	"vitamin B12 transporter subunit -!- ATP-binding component of ABC superfamily"
"b1710"	"btuE"	"predicted glutathione peroxidase"
"b1711"	"btuC"	"vitamin B12 transporter subunit -!- membrane component of ABC superfamily"
"b1712"	"ihfA"	"integration host factor (IHF), DNA-binding protein, alpha subunit"
"b1713"	"pheT"	"phenylalanine tRNA synthetase, beta subunit"
"b1714"	"pheS"	"phenylalanine tRNA synthetase, alpha subunit"
"b1715"	"pheM"	"phenylalanyl-tRNA synthetase operon leader peptide"
"b1716"	"rplT"	"50S ribosomal subunit protein L20"
"b1717"	"rpmI"	"50S ribosomal subunit protein L35"
"b1718"	"infC"	"protein chain initiation factor IF-3"
"b1719"	"thrS"	"threonyl-tRNA synthetase"
"b1720"	"arpB_1"	"predicted protein, N-ter fragment (pseudogene)"
"b1721"	"arpB_2"	"predicted protein, C-ter fragment (pseudogene)"
"b4494"	"arpB"	"predicted protein (pseudogene)"
"b4535"	"yniD"	"predicted protein"
"b1722"	"ydiY"	"conserved protein"
"b1723"	"pfkB"	"6-phosphofructokinase II"
"b1724"	"ydiZ"	"predicted protein"
"b1725"	"yniA"	"predicted phosphotransferase/kinase"
"b1726"	"yniB"	"predicted inner membrane protein"
"b1727"	"yniC"	"predicted hydrolase"
"b1728"	"ydjM"	"predicted inner membrane protein regulated by LexA"
"b1729"	"ydjN"	"predicted transporter"
"b1730"	"ydjO"	"predicted protein"
"b1731"	"cedA"	"cell division modulator"
"b1732"	"katE"	"hydroperoxidase HPII(III) (catalase)"
"b1733"	"chbG"	"conserved protein"
"b1734"	"chbF"	"cryptic phospho-beta-glucosidase, NAD(P)-binding"
"b1735"	"chbR"	"DNA-binding transcriptional dual regulator"
"b1736"	"chbA"	"N,N'-diacetylchitobiose-specific enzyme IIA component of PTS"
"b1737"	"chbC"	"N,N'-diacetylchitobiose-specific enzyme IIC component of PTS"
"b1738"	"chbB"	"N,N'-diacetylchitobiose-specific enzyme IIB component of PTS"
"b1739"	"osmE"	"DNA-binding transcriptional regulator"
"b1740"	"nadE"	"NAD synthetase, NH3/glutamine-dependent"
"b1741"	"ydjQ"	"endonuclease of nucleotide excision repair"
"b1742"	"ydjR"	"conserved protein"
"b1743"	"spy"	"envelope stress induced periplasmic protein"
